[2026-08-17 05:44:26] monitor started (interval=600s, pid=518663)
[2026-08-17 05:44:27] ALIVE | step=296/5548 | eval_loss=1.587 | NEW BEST: eval_loss=1.587288 @ eval_step=200
[2026-08-17 12:02:11] ALIVE | step=1313/5548 | eval_loss=1.506 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 12:12:12] ALIVE | step=1350/5548 | eval_loss=1.506 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 12:22:13] ALIVE | step=1391/5548 | eval_loss=1.506 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 12:32:13] ALIVE | step=1400/5548 | eval_loss=1.506 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 12:42:14] ALIVE | step=1428/5548 | eval_loss=1.506 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 12:52:15] ALIVE | step=1468/5548 | eval_loss=1.506 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 13:02:15] ALIVE | step=1500/5548 | eval_loss=1.533 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 13:12:16] ALIVE | step=1507/5548 | eval_loss=1.533 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 13:22:17] ALIVE | step=1547/5548 | eval_loss=1.533 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 13:32:17] ALIVE | step=1585/5548 | eval_loss=1.533 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 13:42:18] ALIVE | step=1600/5548 | eval_loss=1.541 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 13:52:19] ALIVE | step=1600/5548 | eval_loss=1.538 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 14:02:19] COMPLETED | step=1600/5548 | eval_loss=1.538 | NEW BEST: eval_loss=1.505834 @ eval_step=1300
[2026-08-17 14:02:19] ★★★ 训练正常结束 → 进入评测阶段 ★★★
[2026-08-17 14:02:19] 评测命令见 V6_RUNBOOK.md「训练完成后的评测」章节
